,Frame,X,Y,Z
3539,1770,0.020402023,-0.027359543,0.58566189
3541,1771,0.020402023,-0.027359543,0.58566189
3543,1772,0.020402023,-0.027359543,0.58566189
3545,1773,0.020402023,-0.027359543,0.58566189
3547,1774,0.020402023,-0.027359543,0.58566189
3549,1775,0.020402023,-0.027359543,0.58566189
3551,1776,0.020692603,-0.027351092,0.58552265
3553,1777,0.020402023,-0.027359543,0.58566189
3555,1778,0.020402023,-0.027359543,0.58566189
3557,1779,0.020692603,-0.027351092,0.58552265
3559,1780,0.020402023,-0.027359543,0.58566189
3561,1781,0.020399947,-0.027504786,0.58565731
3563,1782,0.020690525,-0.027496301,0.58551808
3565,1783,0.020692565,-0.027654425,0.58551838
3567,1784,0.020401989,-0.027662991,0.58565762
3569,1785,0.020692565,-0.027654425,0.58551838
3571,1786,0.020692565,-0.027654425,0.58551838
3573,1787,0.020692565,-0.027654425,0.58551838
3575,1788,0.020692565,-0.027654425,0.58551838
3577,1789,0.020692565,-0.027654425,0.58551838
3579,1790,0.020692565,-0.027654425,0.58551838
3581,1791,0.020692565,-0.027654425,0.58551838
3583,1792,0.020692565,-0.027654425,0.58551838
3585,1793,0.020692565,-0.027654425,0.58551838
3587,1794,0.020692565,-0.027654425,0.58551838
3589,1795,0.020692565,-0.027654425,0.58551838
3591,1796,0.020692565,-0.027654425,0.58551838
3593,1797,0.020692565,-0.027654425,0.58551838
3595,1798,0.020692565,-0.027654425,0.58551838
3597,1799,0.020692565,-0.027654425,0.58551838
3599,1800,0.020692565,-0.027654425,0.58551838
3601,1801,0.020692565,-0.027654425,0.58551838
3603,1802,0.020692565,-0.027654425,0.58551838
3605,1803,0.020692565,-0.027654425,0.58551838
3607,1804,0.020692565,-0.027654425,0.58551838
3609,1805,0.020692565,-0.027654425,0.58551838
3611,1806,0.020692565,-0.027654425,0.58551838
3613,1807,0.020692565,-0.027654425,0.58551838
3615,1808,0.020692565,-0.027654425,0.58551838
3617,1809,0.020692565,-0.027654425,0.58551838
3619,1810,0.020692565,-0.027654425,0.58551838
3621,1811,0.020692565,-0.027654425,0.58551838
3623,1812,0.020692565,-0.027654425,0.58551838
3625,1813,0.020692565,-0.027654425,0.58551838
3627,1814,0.020692565,-0.027654425,0.58551838
3629,1815,0.020692565,-0.027654425,0.58551838
3631,1816,0.02069044,-0.027799632,0.58551379
3633,1817,0.02069044,-0.027799632,0.58551379
3635,1818,0.020692533,-0.027957755,0.58551411
3637,1819,0.020692533,-0.027957755,0.58551411
3639,1820,0.020692533,-0.027957755,0.58551411
3641,1821,0.020692533,-0.027957755,0.58551411
3643,1822,0.020692533,-0.027957755,0.58551411
3645,1823,0.020692533,-0.027957755,0.58551411
3647,1824,0.020692533,-0.027957755,0.58551411
3649,1825,0.020692533,-0.027957755,0.58551411
3651,1826,0.020692533,-0.027957755,0.58551411
3653,1827,0.020692533,-0.027957755,0.58551411
3655,1828,0.020692533,-0.027957755,0.58551411
3657,1829,0.020692533,-0.027957755,0.58551411
3659,1830,0.020692533,-0.027957755,0.58551411
3661,1831,0.020692533,-0.027957755,0.58551411
3663,1832,0.020692533,-0.027957755,0.58551411
3665,1833,0.020692533,-0.027957755,0.58551411
3667,1834,0.020692533,-0.027957755,0.58551411
3669,1835,0.020692533,-0.027957755,0.58551411
3671,1836,0.020692533,-0.027957755,0.58551411
3673,1837,0.020982967,-0.027949078,0.58537495
3675,1838,0.020692533,-0.027957755,0.58551411
3677,1839,0.020982967,-0.027949078,0.58537495
3679,1840,0.020692533,-0.027957755,0.58551411
3681,1841,0.020692533,-0.027957755,0.58551411
3683,1842,0.020982967,-0.027949078,0.58537495
3685,1843,0.020982967,-0.027949078,0.58537495
3687,1844,0.020982967,-0.027949078,0.58537495
3689,1845,0.020982967,-0.027949078,0.58537495
3691,1846,0.020982967,-0.027949078,0.58537495
3693,1847,0.020982967,-0.027949078,0.58537495
3695,1848,0.020980794,-0.028094248,0.58537033
3697,1849,0.020980794,-0.028094248,0.58537033
