Frame num,cyy,yy(vert),xx (horiz),Intensity
2580,241,143,342,297
2579,241,143,342,261
2578,241,143,342,268
2577,241,143,342,274
2576,241,143,342,273
2575,241,143,342,267
2574,241,143,342,286
2573,241,143,342,286
2572,241,143,342,270
2571,241,143,342,271
2570,241,143,342,268
2569,241,143,342,277
2568,241,143,342,274
2567,241,143,342,279
2566,241,143,342,261
2565,241,143,342,283
2564,241,143,342,271
2563,241,143,342,273
2562,241,143,342,278
2561,241,143,342,297
2560,241,143,342,284
2559,241,143,342,295
2558,241,143,342,305
2557,241,143,342,297
2556,240,144,342,295
2555,240,144,342,297
2554,240,144,342,299
2553,240,144,342,300
2552,240,144,342,307
2551,240,144,342,294
2550,240,144,342,293
2549,240,144,342,299
2548,240,144,342,300
2547,240,144,342,285
2546,240,144,342,304
2545,240,144,342,275
2544,240,144,342,290
2543,240,144,342,282
2542,240,144,342,276
2541,240,144,342,279
2540,240,144,342,282
2539,240,144,342,277
2538,240,144,342,298
2537,240,144,342,283
2536,240,144,342,298
2535,240,144,342,302
2534,240,144,342,297
2533,240,144,342,306
2532,240,144,342,298
2531,240,144,342,303
2530,240,144,342,323
2529,240,144,342,315
2528,240,144,342,316
2527,240,144,342,319
2526,240,144,342,323
2525,240,144,342,322
2524,240,144,342,321
2523,239,145,342,322
2522,239,145,342,291
2521,239,145,342,321
2520,239,145,342,307
2519,239,145,342,305
2518,239,145,342,300
2517,239,145,342,298
2516,239,145,342,317
2515,239,145,342,314
2514,239,145,342,313
2513,239,145,342,315
2512,239,145,342,311
2511,239,145,342,316
2510,239,145,342,316
2509,239,145,342,310
2508,239,145,342,333
2507,239,145,342,329
2506,239,145,342,320
2505,239,145,342,308
2504,239,145,342,307
2503,239,145,342,311
2502,239,145,342,344
2501,239,145,342,317
2500,239,145,342,318
2499,239,145,342,325
2498,239,145,342,312
2497,239,145,342,321
2496,239,145,342,324
2495,239,145,342,323
2494,239,145,342,328
2493,239,145,342,330
2492,239,145,342,332
2491,239,145,342,336
2490,238,146,342,331
2489,238,146,342,331
2488,238,146,341,329
2487,238,146,341,324
2486,238,146,341,338
2485,238,146,341,321
2484,238,146,341,323
2483,238,146,341,337
2482,238,146,341,348
2481,238,146,341,346
2480,238,146,341,351
2479,238,146,341,344
2478,238,146,341,349
2477,238,146,341,343
2476,238,146,341,347
2475,238,146,341,344
2474,238,146,341,345
2473,238,146,341,348
2472,238,146,341,348
2471,238,146,341,342
2470,238,146,341,352
2469,238,146,341,348
2468,238,146,341,347
2467,238,146,341,338
2466,238,146,341,340
2465,238,146,341,324
2464,238,146,341,344
2463,238,146,341,344
2462,238,146,341,360
2461,238,146,341,351
2460,238,146,341,336
2459,238,146,341,336
2458,237,147,341,334
2457,237,147,341,333
2456,237,147,341,327
2455,237,147,341,344
2454,237,147,341,339
2453,237,147,341,352
2452,237,147,341,353
2451,237,147,341,354
2450,237,147,341,352
2449,237,147,341,352
2448,237,147,341,354
2447,237,147,341,357
2446,237,147,341,366
2445,237,147,341,354
2444,237,147,341,350
2443,237,147,341,343
2442,237,147,341,363
2441,237,147,341,382
2440,237,147,341,380
2439,237,147,341,370
2438,237,147,341,372
2437,237,147,341,372
2436,237,147,341,371
2435,237,147,341,376
2434,237,147,341,377
2433,237,147,341,393
2432,237,147,341,385
2431,237,147,341,395
2430,237,147,341,379
2429,237,147,341,382
2428,237,147,341,388
2427,237,147,341,394
2426,236,148,341,384
2425,236,148,341,383
2424,236,148,341,385
2423,236,148,341,379
2422,236,148,341,381
2421,236,148,341,375
2420,236,148,341,402
2419,236,148,341,393
2418,236,148,341,395
2417,236,148,341,385
2416,236,148,341,393
2415,236,148,341,395
2414,236,148,341,407
2413,236,148,341,393
2412,236,148,341,394
2411,236,148,341,395
2410,236,148,341,393
2409,236,148,341,400
2408,236,148,341,407
2407,236,148,341,388
2406,236,148,341,403
2405,236,148,341,411
2404,236,148,341,390
2403,236,148,341,394
2402,236,148,341,401
2401,236,148,341,403
2400,236,148,341,406
2399,236,148,341,403
2398,236,148,341,416
2397,236,148,341,400
2396,236,148,341,386
2395,235,149,341,387
2394,235,149,341,385
2393,235,149,341,383
2392,235,149,341,382
2391,235,149,341,382
2390,235,149,341,381
2389,235,149,341,394
2388,235,149,341,395
2387,235,149,341,412
2386,235,149,341,410
2385,235,149,341,416
2384,235,149,341,409
2383,235,149,341,415
2382,235,149,341,414
2381,235,149,340,414
2380,235,149,340,420
2379,235,149,340,418
2378,235,149,340,418
2377,235,149,340,420
2376,235,149,340,424
2375,235,149,340,423
2374,235,149,340,424
2373,235,149,340,413
2372,235,149,340,414
2371,235,149,340,420
2370,235,149,340,434
2369,235,149,340,433
2368,235,149,340,430
2367,235,149,340,429
2366,235,149,340,442
2365,235,149,340,445
2364,235,149,340,432
2363,234,150,340,459
2362,234,150,340,440
2361,234,150,340,438
2360,234,150,340,422
2359,234,150,340,448
2358,234,150,340,438
2357,234,150,340,434
2356,234,150,340,428
2355,234,150,340,448
2354,234,150,340,438
2353,234,150,340,447
2352,234,150,340,429
2351,234,150,340,429
2350,234,150,340,432
2349,234,150,340,434
2348,234,150,340,433
2347,234,150,340,410
2346,234,150,340,423
2345,234,150,340,430
2344,234,150,340,432
2343,234,150,340,433
2342,234,150,340,433
2341,234,150,340,438
2340,234,150,340,444
2339,234,150,340,439
2338,234,150,340,449
2337,234,150,340,451
2336,234,150,340,448
2335,234,150,340,463
2334,234,150,340,455
2333,234,150,340,474
2332,233,151,340,465
2331,233,151,340,458
2330,233,151,340,447
2329,233,151,340,454
2328,233,151,340,449
2327,233,151,340,453
2326,233,151,340,443
2325,233,151,340,443
2324,233,151,340,447
2323,233,151,340,458
2322,233,151,340,437
2321,233,151,340,439
2320,233,151,340,436
2319,233,151,340,440
2318,233,151,340,436
2317,233,151,340,443
2316,233,151,340,439
2315,233,151,340,446
2314,233,151,340,461
2313,233,151,340,441
2312,233,151,340,454
2311,233,151,340,447
2310,233,151,340,463
2309,233,151,340,461
2308,233,151,340,461
2307,233,151,340,458
2306,233,151,340,469
2305,233,151,340,468
2304,233,151,340,434
2303,233,151,340,459
2302,232,152,340,459
2301,232,152,340,425
2300,232,152,340,451
2299,232,152,340,445
2298,232,152,340,457
2297,232,152,340,454
2296,232,152,340,454
2295,232,152,340,454
2294,232,152,340,435
2293,232,152,340,474
2292,232,152,340,450
2291,232,152,340,459
2290,232,152,340,457
2289,232,152,339,451
2288,232,152,339,485
2287,232,152,339,472
2286,232,152,339,467
2285,232,152,339,474
2284,232,152,339,489
2283,232,152,339,470
2282,232,152,339,475
2281,232,152,339,477
2280,232,152,339,473
2279,232,152,339,468
2278,232,152,339,461
2277,232,152,339,501
2276,232,152,339,470
2275,232,152,339,464
2274,232,152,339,492
2273,232,152,339,468
2272,231,153,339,462
2271,231,153,339,487
2270,231,153,339,481
2269,231,153,339,465
2268,231,153,339,466
2267,231,153,339,482
2266,231,153,339,469
2265,231,153,339,458
2264,231,153,339,471
2263,231,153,339,488
2262,231,153,339,452
2261,231,153,339,480
2260,231,153,339,488
2259,231,153,339,465
2258,231,153,339,457
2257,231,153,339,481
2256,231,153,339,469
2255,231,153,339,469
2254,231,153,339,478
2253,231,153,339,509
2252,231,153,339,483
2251,231,153,339,466
2250,231,153,339,498
2249,231,153,339,486
2248,231,153,339,471
2247,231,153,339,484
2246,231,153,339,501
2245,231,153,339,491
2244,231,153,339,482
2243,231,153,339,486
2242,230,154,339,491
2241,230,154,339,490
2240,230,154,339,488
2239,230,154,339,501
2238,230,154,339,484
2237,230,154,339,479
2236,230,154,339,484
2235,230,154,339,495
2234,230,154,339,479
2233,230,154,339,474
2232,230,154,339,501
2231,230,154,339,493
2230,230,154,339,469
2229,230,154,339,493
2228,230,154,339,508
2227,230,154,339,477
2226,230,154,339,477
2225,230,154,339,504
2224,230,154,339,499
2223,230,154,339,477
2222,230,154,339,491
2221,230,154,339,529
2220,230,154,339,513
